year,country,weight_kg,value_usd,price_usd_per_kg,volume_mt
2022,Cameroon,20720368.0,44271354.104,2.1366104165717523,20720.368
2022,China,43845793.842,208190124.0,4.748234796482898,43845.793842
2022,Colombia,4998461957.2,31698557143.6,6.341662178290671,4998461.9572
2022,Congo (Kinshasa),3413360.0,6119346.55,1.792763303607003,3413.36
2022,Costa Rica,62344941.7,371439243.23,5.957808814985226,62344.9417
2022,Cote d'Ivoire,54489201.005,95340641.962,1.7497162777859674,54489.201005
2022,Ecuador,10988821.2,53895352.8,4.904561810506117,10988.821199999998
2022,El Salvador,33580354.38,175772508.19,5.23438514677164,33580.354380000004
2022,Ethiopia,272936404.7,1508121306.472,5.525541043634917,272936.4047
2022,Guatemala,193774152.0,1113942016.0,5.748661544910283,193774.152
2022,Indonesia,867562143.824,2271032477.654,2.617717351801277,867562.143824
2022,Kenya,48208294.98,314763626.804,6.529242051281525,48208.29498
2022,Laos,63649071.0,186950649.38,2.9372093958763354,63649.071
2022,Mexico,202971784.0,1111773608.0,5.477478623334168,202971.784
2022,Nicaragua,155994533.49,714112671.49,4.577805744300508,155994.53349
2022,Papua New Guinea,43880599.3,207337779.744,4.725044394368607,43880.599299999994
2022,Peru,236936291.73,1187047291.216,5.009985099997666,236936.29173
2022,Rwanda,17055961.9,92636202.98,5.431309211590113,17055.9619
2022,Tanzania,107322061.3,321245020.2,2.99328037785275,107322.0613
2022,Togo,20578080.0,34094705.012,1.6568457801699674,20578.08
2022,Uganda,370144752.1,857051281.53,2.3154489606229918,370144.75210000004
2022,Vietnam,2705802701.922,5645512148.971001,2.0864463417679535,2705802.701922
2023,Brazil,4233254413.239,14630707872.0,3.456137156851287,4233254.413238999
2023,Burundi,20714992.28,82181188.978,3.9672324211940277,20714.992280000002
2023,Cameroon,26516114.0,63534774.538,2.396081663323668,26516.114
2023,China,16584155.0,67949181.0,4.097235041520054,16584.155
2023,Colombia,4606428282.32,22335596123.12,4.848788422224347,4606428.282319999
2023,Congo (Kinshasa),7674580.0,18298248.777,2.384267123021716,7674.58
2023,Costa Rica,60263330.308,346963208.082,5.75745160960579,60263.330308
2023,Cote d'Ivoire,34013294.01,62029980.571,1.8236981267607608,34013.29401
2023,El Salvador,28799413.02,145470531.0,5.051163053183644,28799.41302
