year,country_code,country,export_volume_mt,export_value_million_usd,avg_price_usd_per_kg
2020,404,Kenya,90703.055252,431.509623549,4.7573879661510645
2021,404,Kenya,39878.02873,247.976591702,6.218376374142304
2022,404,Kenya,50885.08489,326.545492125,6.417312515659635
2023,404,Kenya,50891.09890999999,259.360450603,5.096381413607797
2001,604,Peru,160218.254,180.396469,1.125942047776903
2002,604,Peru,167693.274,188.089297,1.1216269592303385
2003,604,Peru,150543.985,181.130492,1.2031732254198
2004,604,Peru,191137.376,289.889506,1.5166552563743472
2005,604,Peru,142165.662,306.158599,2.153534086170541
2006,604,Peru,238083.736,515.036071,2.1632560025015737
2007,604,Peru,173624.166,426.948918,2.459040857250252
2008,604,Peru,225090.16,645.11339,2.866022175291892
2009,604,Peru,197663.941,584.439896,2.956735017238172
2010,604,Peru,460104.09938,1777.45320766,3.8631544688585815
2011,604,Peru,592832.30512,3194.44373782,5.38844410169818
2012,604,Peru,532786.98782,2047.21577316,3.842465788319222
2013,604,Peru,477379.10688,1398.12274726,2.928747251629196
2014,604,Peru,370836.589,1498.93630022,4.042039929937982
2015,604,Peru,739708.34936,2454.73162904,3.3185128046261045
2016,604,Peru,482520.220232,1525.11384502,3.160725252688295
2017,604,Peru,492038.01128,1420.10855236,2.8861765144235383
2018,604,Peru,522693.82694,1365.26213998,2.611972955511331
2019,604,Peru,464843.27714,1273.66949586,2.7399976690991283
2020,604,Peru,213385.00033,640.72673647,3.0026793611505767
2021,604,Peru,191964.862951,758.56932811,3.95160508255945
2022,604,Peru,237189.201744,1188.902260901,5.012463687888249
2023,604,Peru,204797.619533,829.28163189,4.04927378443661
2003,646,Rwanda,14098.857,13.916501,0.9870659018670804
2004,646,Rwanda,27934.596,37.220356,1.3324107497384248
2005,646,Rwanda,18650.447,37.264389,1.998042674258692
2006,646,Rwanda,26093.183,48.763605,1.868825470621963
2007,646,Rwanda,15268.647,32.416125,2.123051570974167
2008,646,Rwanda,22856.941,55.148385,2.4127631514645813
2009,646,Rwanda,13502.021,33.610798,2.48931608090374
2010,646,Rwanda,37556.196,116.829859773,3.110801205026196
2011,646,Rwanda,31624.368,152.648476836,4.826925769267547
2012,646,Rwanda,39654.042,142.316721274,3.5889587566886623
2013,646,Rwanda,37710.179,104.423413296,2.769104153443557
2014,646,Rwanda,32524.569600000003,121.654011258,3.740372670696309
2016,646,Rwanda,18823.315,119.402618202,6.343336346546823
2017,646,Rwanda,40632.2743,135.302959273,3.329938124408655
2019,646,Rwanda,26237.77032,74.43607082,2.836981569400368
2020,646,Rwanda,20913.9494,70.52849257,3.372318217906753
2021,646,Rwanda,19086.16765,84.77077592,4.441477067293811
2022,646,Rwanda,17831.5339,96.10139783,5.3894072360202285
2001,800,Uganda,183277.158,97.652497,0.5328132434266577
2002,800,Uganda,201591.43,96.626011,0.4793160651720164
2003,800,Uganda,146299.375,100.232625,0.6851199808611622
2004,800,Uganda,159964.918,124.236195,0.7766465082050052
2005,800,Uganda,144036.903,172.941675,1.200676155887634
2006,800,Uganda,123443.425,189.830241,1.5377914295556852
2007,800,Uganda,164780.231,265.852924,1.6133787553678087
2008,800,Uganda,202441.536,403.178824,1.991581529987996
2009,800,Uganda,181606.58,280.208701,1.5429435486313323
2010,800,Uganda,159177.855,283.890793,1.7834817098144713
2011,800,Uganda,201279.154,466.65946,2.3184689061242776
2012,800,Uganda,169705.94,372.165924,2.193004699776566
2014,800,Uganda,212107.998,410.064425,1.9332812947487248
2016,800,Uganda,210740.587,371.673981,1.763656381008372
2017,800,Uganda,2296906.104,4443.63539856,1.9346177846893824
2018,800,Uganda,504478.678,872.16793298,1.7288499415628424
2019,800,Uganda,277528.67,438.54385844,1.580174972337092
2020,800,Uganda,660626.25,1031.067808,1.5607430192185068
2021,800,Uganda,408220.6198,718.9585183099999,1.7612008885348325
2022,800,Uganda,371204.8011,859.4881929400001,2.3154016068570726
2023,800,Uganda,370486.462,955.07764929,2.5779016165238446
2000,704,Vietnam,733934.0,501.447,0.6832317347336408
2001,704,Vietnam,328507.216,391.23438,1.190946076508712
2002,704,Vietnam,294032.904,321.63476,1.0938733577926367
2003,704,Vietnam,402409.6,504.891777,1.2546713025732985
2004,704,Vietnam,438050.25,641.974483,1.4655270325721763
2005,704,Vietnam,502824.413,740.310003,1.4723032212837288
2006,704,Vietnam,980878.416,1217.166817,1.2408946890314692
2007,704,Vietnam,1232076.897,1916.650274,1.5556255284608262
2008,704,Vietnam,1060883.176,2113.761161,1.9924542200488249
2009,704,Vietnam,1183513.719,1730.569583,1.4622302684097572
2010,704,Vietnam,1218026.51,1851.410854,1.5200086687768397
2011,704,Vietnam,1260118.874,2761.06923,2.1911180658976463
2012,704,Vietnam,1711163.952,3545.274719,2.071849815943294
2013,704,Vietnam,1269063.247,2551.421997,2.010476627568744
2014,704,Vietnam,1646310.766,3311.395619,2.011403732143242
2015,704,Vietnam,1283739.022,2415.422841,1.8815528698636068
2016,704,Vietnam,1705152.211802,3040.19487972,1.7829463309361282
2017,704,Vietnam,1466204.98756,3101.426983,2.1152751554619056
2018,704,Vietnam,874114.279263,2891.54710666,3.3079737687136017
2019,704,Vietnam,1421866.169455,2218.82127056,1.5604993762601949
2020,704,Vietnam,1241229.0629790002,1976.606335271,1.5924589539718514
2021,704,Vietnam,1199631.677087,2155.507660545,1.7968078883837926
2022,704,Vietnam,2786054.826752,5904.069882496,2.1191506447771533
2023,704,Vietnam,2154144.951638,6367.746548844999,2.956043670136032
