country,species,export_price_usd_per_kg_green,farmer_share_pct,farmer_price_usd_per_kg_green,supply_chain_cost_pct,price_date,source
Vietnam,Robusta,4.95,95,4.7,5,March 2025,Author estimates
Rwanda,Arabica,4.92,54,2.67,46,2024/25 crop,One Acre Fund analysis
