date,arabica_cents_per_lb,robusta_cents_per_lb,arabica_usd_per_kg,robusta_usd_per_kg,year,month
1992-01-01,73.03181818181818,48.81636363636364,1.6100740699999998,1.0762153159999999,1992,1
1992-02-01,69.298,43.5925,1.5277575675999997,0.9610489734999998,1992,2
1992-03-01,69.89363636363636,42.50954545454545,1.5408890859999997,0.937173941,1992,3
1992-04-01,66.52227272727274,41.91409090909091,1.466563329,0.9240464309999998,1992,4
1992-05-01,60.79666666666667,38.14761904761905,1.3403354726666665,0.8410100390476191,1992,5
1992-06-01,59.44818181818182,37.19045454545455,1.310606506,0.819908199,1992,6
1992-07-01,58.34913043478261,39.09782608695652,1.2863765993913043,0.8619584934782608,1992,7
1992-08-01,53.35380952380952,39.00285714285714,1.1762487555238093,0.859864789142857,1992,8
1992-09-01,51.67318181818182,40.905,1.1391973009999998,0.901799811,1992,9
1992-10-01,50.83,40.88,1.120608346,0.9012486559999999,1992,10
1992-11-01,52.51285714285714,44.75047619047619,1.157708951142857,0.9865779481904761,1992,11
1992-12-01,75.13913043478261,49.88086956521739,1.6565322973913044,1.0996836266086953,1992,12
1993-01-01,71.81904761904762,47.65666666666667,1.5833370876190473,1.0506484046666666,1993,1
1993-02-01,67.4365,46.788,1.4867185662999998,1.0314976055999998,1993,2
1993-03-01,64.68130434782609,46.33086956521739,1.4259769719130433,1.0214196166086955,1993,3
1993-04-01,58.41454545454545,44.615,1.2878187519999997,0.983591213,1993,4
1993-05-01,61.65904761904762,45.89952380952381,1.3593476956190473,1.0119100818095237,1993,5
1993-06-01,63.19045454545455,46.69454545454545,1.3931093989999999,1.0294372879999998,1993,6
1993-07-01,70.47909090909091,48.95590909090909,1.5537961339999997,1.0792917629999998,1993,7
1993-08-01,76.18727272727273,57.77,1.679639852,1.273608974,1993,8
1993-09-01,81.12181818181818,62.88772727272727,1.7884278279999999,1.3864354129999998,1993,9
1993-10-01,76.64333333333333,59.01809523809524,1.6896942553333332,1.3011247312380951,1993,10
1993-11-01,79.23863636363636,61.62045454545455,1.7469108249999996,1.358496865,1993,11
1993-12-01,82.55260869565217,62.41913043478261,1.8199713218260865,1.3761046333913043,1993,12
1994-01-01,79.58238095238094,59.91619047619048,1.7544890869523806,1.3209243184761905,1994,1
1994-02-01,83.2,60.6575,1.83424384,1.3372673764999998,1994,2
1994-03-01,87.01478260869565,64.83826086956522,1.9183453003478261,1.4294372667826085,1994,3
1994-04-01,90.93761904761904,71.4652380952381,2.0048289370476184,1.5755369320952384,1994,4
1994-05-01,117.1663636363636,91.42818181818184,2.583073085999999,2.0156439820000003,1994,5
1994-06-01,133.3613636363636,106.00454545454548,2.9401112949999986,2.3369974100000004,1994,6
1994-07-01,201.41,150.9914285714286,4.440325142,3.328787232571429,1994,7
1994-08-01,199.1395652173913,159.8152173913043,4.390270682695652,3.523318245652172,1994,8
1994-09-01,218.68045454545447,180.3768181818182,4.821073036999998,3.976623409,1994,9
1994-10-01,207.3138095238095,174.7385714285714,4.5704817075238084,3.8523214934285703,1994,10
1994-11-01,188.1163636363636,159.1054545454545,4.147250975999999,3.507670671999999,1994,11
1994-12-01,162.265,127.5431818181818,3.5773266429999997,2.811842494999999,1994,12
1995-01-01,171.0881818181818,128.9827272727273,3.771844273999999,2.8435790020000002,1995,1
1995-02-01,167.475,133.759,3.692187345,2.9488776657999995,1995,2
1995-03-01,179.2108695652174,145.9052173913043,3.9509186726086956,3.2166556036521725,1995,3
1995-04-01,173.237,144.7815,3.8192175494,3.1918819053,1995,4
1995-05-01,173.245652173913,142.8634782608696,3.8194082969565204,3.1495968144347835,1995,5
1995-06-01,158.6031818181818,130.56727272727267,3.4965974669999995,2.8785122079999983,1995,6
1995-07-01,140.2966666666667,116.0595238095238,3.0930083726666675,2.5586714738095235,1995,7
1995-08-01,150.9917391304348,129.9269565217391,3.328794079217391,2.864395668869564,1995,8
1995-09-01,137.1380952380952,117.2742857142857,3.0233738752380943,2.585452357714285,1995,9
1995-10-01,127.0859090909091,112.58772727272732,2.8017613690000003,2.4821315530000008,1995,10
1995-11-01,125.26045454545448,110.6909090909091,2.7615170329999983,2.44031392,1995,11
1995-12-01,106.3680952380952,93.27380952380952,2.345012301238094,2.056333059523809,1995,12
1996-01-01,107.9617391304348,88.64739130434783,2.3801460932173915,1.954338118173913,1996,1
1996-02-01,124.7804761904762,97.5004761904762,2.7509353341904763,2.1495149981904764,1996,2
1996-03-01,120.807619047619,90.71333333333332,2.6633489310476177,1.999884289333333,1996,3
1996-04-01,121.8831818181818,90.47590909090908,2.6870610029999993,1.9946499869999996,1996,4
1996-05-01,129.595652173913,91.30391304347826,2.8570916669565207,2.0129043277391303,1996,5
1996-06-01,125.03,86.1045,2.756436386,1.8982770278999999,1996,6
1996-07-01,123.7008695652174,78.24739130434783,2.727134110608696,1.7250576381739129,1996,7
1996-08-01,125.50772727272728,79.02772727272728,2.766968457,1.742261081,1996,8
1996-09-01,119.812380952381,74.91380952380952,2.641407712952382,1.6515648275238093,1996,9
1996-10-01,123.77695652173908,72.98695652173913,2.728811538869564,1.609085040869565,1996,10
1996-11-01,123.9138095238095,70.1247619047619,2.731828627523809,1.5459845259047618,1996,11
1996-12-01,116.8936363636364,63.415,2.577060486000001,1.398059773,1996,12
1997-01-01,131.2339130434783,66.16478260869565,2.8932090937391313,1.4586820303478256,1997,1
1997-02-01,166.3255,75.402,3.6668452380999996,1.6623275723999997,1997,2
1997-03-01,193.4080952380952,79.91238095238096,4.263913549238094,1.7617643329523809,1997,3
1997-04-01,205.44090909090912,77.48681818181818,4.52919137,1.7082898909999997,1997,4
1997-05-01,265.6059090909091,92.01227272727272,5.8556009929999995,2.0285209669999995,1997,5
1997-06-01,226.7609523809524,90.19285714285714,4.999217308380953,1.9884097671428569,1997,6
1997-07-01,190.1582608695652,80.51,4.192267050782608,1.774939562,1997,7
1997-08-01,191.0990476190476,74.59761904761905,4.213007823619047,1.644594029047619,1997,8
1997-09-01,190.86454545454552,75.00318181818182,4.207837942000001,1.6535351469999997,1997,9
1997-10-01,169.1491304347826,74.79739130434783,3.7290955593913035,1.6489982481739127,1997,10
1997-11-01,160.3115,75.8055,3.5342593912999996,1.6712232140999999,1997,11
1997-12-01,176.7795652173913,82.1886956521739,3.897317650695652,1.811948422086956,1997,12
1998-01-01,176.9136363636364,83.105,3.900273410000001,1.832149451,1998,1
1998-02-01,178.374,83.522,3.9324688788,1.8413427164,1998,2
1998-03-01,158.39,81.88863636363637,3.4918976179999994,1.8053332549999999,1998,3
1998-04-01,150.255,88.78272727272727,3.312551781,1.9573217619999996,1998,4
1998-05-01,138.937619047619,91.42142857142856,3.0630465370476174,2.0154950985714284,1998,5
1998-06-01,126.6631818181818,83.60363636363635,2.7924418389999994,1.8431424879999998,1998,6
1998-07-01,116.9413043478261,76.9213043478261,2.578111383913044,1.6958224599130434,1998,7
1998-08-01,123.6471428571429,79.06190476190476,2.7259496408571438,1.7430145647619044,1998,8
1998-09-01,112.9440909090909,79.86772727272727,2.489988017,1.7607798889999997,1998,9
1998-10-01,109.3872727272727,80.42227272727273,2.4115736919999993,1.7730055089999999,1998,10
1998-11-01,116.1219047619048,80.12761904761905,2.560046736761905,1.766509515047619,1998,11
1998-12-01,117.0560869565217,83.97347826086957,2.5806419042608684,1.8512960964347827,1998,12
1999-01-01,114.227619047619,82.71142857142857,2.518284935047618,1.8234726965714285,1999,1
