year,reporter_code,reporter,partner,partner_code,commodity_code,commodity,flow,qty_unit,quantity,net_weight_kg,fob_value_usd,primary_value_usd
2010,76,,,56,0901,,,,4000.0,400.0,1318.0,1318.0
2010,76,,,554,0901,,,,1500000.0,1514580.0,5153224.0,5153224.0
2010,76,,,710,0901,,,,1262076.0,1265202.0,4141411.0,4141411.0
2010,76,,,372,0901,,,,380000.0,384000.0,1175825.0,1175825.0
2010,76,,,340,0901,,,,79000.0,79200.0,194666.0,194666.0
2010,76,,,858,0901,,,,40.0,400.0,1896.0,1896.0
2010,76,,,705,0901,,,,45484000.0,45481448.0,105271678.0,105271678.0
2010,76,,,616,0901,,,,3992440.0,3996380.0,11898003.0,11898003.0
2010,76,,,792,0901,,,,20280400.0,20318080.0,51368406.0,51368406.0
2010,76,,,0,0901,,,,24632472.0,24525764.0,52580043.0,52580043.0
2010,76,,,780,0901,,,,220000.0,214500.0,412040.0,412040.0
2010,76,,,702,0901,,,,670608.0,673608.0,1947022.0,1947022.0
2010,76,,,704,0901,,,,180850.0,180850.0,431490.0,431490.0
2010,76,,,490,0901,,,,3000.0,3000.0,10372.0,10372.0
2010,76,,,258,0901,,,,19000.0,19200.0,63305.0,63305.0
2010,76,,,246,0901,,,,28206000.0,28195200.0,89059163.0,89059163.0
2010,76,,,826,0901,,,,1879.0,1887.0,13690.0,13690.0
2010,76,,,12,0901,,,,1706000.0,1705500.0,3801852.0,3801852.0
2010,76,,,68,0901,,,,163429.0,163429.0,681057.0,681057.0
2010,76,,,208,0901,,,,5918000.0,5913671.0,17567570.0,17567570.0
2010,76,,,688,0901,,,,251000.0,252000.0,477195.0,477195.0
2010,76,,,504,0901,,,,608000.0,614400.0,1786750.0,1786750.0
2010,76,,,156,0901,,,,1023628.0,1031257.0,3271318.0,3271318.0
2010,76,,,364,0901,,,,22000.0,22400.0,138517.0,138517.0
2010,76,,,702,0901,,,,670518.0,673518.0,1946316.0,1946316.0
2010,76,,,752,0901,,,,660.0,660.0,3147.0,3147.0
2010,76,,,152,0901,,,,11057583.0,11055983.0,24770385.0,24770385.0
2010,76,,,152,0901,,,,2230333.0,2227133.0,4939569.0,4939569.0
2010,76,,,192,0901,,,,12890000.0,12887220.0,27535306.0,27535306.0
2010,76,,,380,0901,,,,165790500.0,166027860.0,500530187.0,500530187.0
2010,76,,,818,0901,,,,2205000.0,2213220.0,5126803.0,5126803.0
2010,76,,,600,0901,,,,737859.0,741273.0,1638406.0,1638406.0
2010,76,,,376,0901,,,,6060000.0,6091720.0,16521252.0,16521252.0
2010,76,,,484,0901,,,,10769000.0,10770300.0,23029725.0,23029725.0
2010,76,,,276,0901,,,,400.0,400.0,2753.0,2753.0
2010,76,,,862,0901,,,,16797000.0,16800000.0,59472038.0,59472038.0
2010,76,,,360,0901,,,,2096000.0,2092800.0,7535386.0,7535386.0
2010,76,,,528,0901,,,,200.0,200.0,1453.0,1453.0
2010,76,,,276,0901,,,,385793234.0,385746894.0,1136095615.0,1136095615.0
2010,76,,,203,0901,,,,1189000.0,1188000.0,3659788.0,3659788.0
2010,76,,,196,0901,,,,1381130.0,1384530.0,3073123.0,3073123.0
2010,76,,,688,0901,,,,251000.0,252000.0,477195.0,477195.0
2010,76,,,792,0901,,,,20280400.0,20318080.0,51368406.0,51368406.0
2010,76,,,508,0901,,,,320.0,320.0,1289.0,1289.0
2010,76,,,858,0901,,,,1230328.0,1213928.0,2752925.0,2752925.0
2010,76,,,512,0901,,,,114000.0,115200.0,251345.0,251345.0
2010,76,,,388,0901,,,,0.0,15000.0,74750.0,74750.0
2010,76,,,410,0901,,,,10282.0,2050.0,19927.0,19927.0
2010,76,,,32,0901,,,,29573097.0,29535797.0,67369464.0,67369464.0
2010,76,,,882,0901,,,,0.0,1340.0,6018.0,6018.0
2010,76,,,410,0901,,,,21335282.0,21326850.0,65771922.0,65771922.0
2010,76,,,12,0901,,,,1706000.0,1705500.0,3801852.0,3801852.0
2010,76,,,192,0901,,,,12890000.0,12887220.0,27535306.0,27535306.0
2010,76,,,208,0901,,,,5918000.0,5913671.0,17567570.0,17567570.0
2010,76,,,246,0901,,,,28206000.0,28195200.0,89059163.0,89059163.0
2010,76,,,300,0901,,,,25486000.0,25551010.0,61108427.0,61108427.0
2010,76,,,458,0901,,,,3044432.0,3044832.0,9805433.0,9805433.0
2010,76,,,882,0901,,,,0.0,1340.0,6018.0,6018.0
2010,76,,,528,0901,,,,28162405.0,28151055.0,81819486.0,81819486.0
2010,170,,,28,0901,,,,569.0,569.0,429.0,429.0
2010,170,,,8,0901,,,,16.0,16.0,33.0,33.0
2010,170,,,191,0901,,,,19274.0,19274.0,93481.0,93481.0
2010,170,,,203,0901,,,,64961.0,64961.0,333483.0,333483.0
2010,170,,,208,0901,,,,687880.0,687880.0,3068199.0,3068199.0
2010,170,,,233,0901,,,,192405.0,192405.0,957326.0,957326.0
2010,170,,,246,0901,,,,6726696.0,6726696.0,30573767.0,30573767.0
2010,170,,,268,0901,,,,39202.0,39202.0,171734.0,171734.0
2010,170,,,308,0901,,,,192.0,192.0,2766.0,2766.0
2010,170,,,300,0901,,,,236011.0,236011.0,1075369.0,1075369.0
2010,170,,,352,0901,,,,77602.0,77602.0,347747.0,347747.0
2010,170,,,360,0901,,,,38513.0,38513.0,167906.0,167906.0
2010,170,,,372,0901,,,,288315.0,288315.0,1292185.0,1292185.0
2010,170,,,376,0901,,,,1565080.0,1565080.0,6919587.0,6919587.0
2010,170,,,368,0901,,,,600.0,600.0,5398.0,5398.0
2010,170,,,410,0901,,,,14404073.0,14404073.0,65817032.0,65817032.0
2010,170,,,400,0901,,,,404050.0,404050.0,1893601.0,1893601.0
2010,170,,,422,0901,,,,253787.0,253787.0,1143728.0,1143728.0
2010,170,,,458,0901,,,,137532.0,137532.0,651499.0,651499.0
2010,170,,,428,0901,,,,153889.0,153889.0,750482.0,750482.0
2010,170,,,490,0901,,,,572119.0,572119.0,3032489.0,3032489.0
2010,170,,,504,0901,,,,290469.0,290469.0,1290815.0,1290815.0
2010,170,,,554,0901,,,,834257.0,834257.0,3862780.0,3862780.0
2010,170,,,579,0901,,,,6860262.0,6860262.0,31387821.0,31387821.0
2010,170,,,616,0901,,,,135271.0,135271.0,614281.0,614281.0
2010,170,,,643,0901,,,,479924.0,479924.0,2264700.0,2264700.0
2010,170,,,662,0901,,,,375.0,375.0,3750.0,3750.0
2010,170,,,642,0901,,,,57509.0,57509.0,257157.0,257157.0
2010,170,,,682,0901,,,,17947.0,17947.0,87856.0,87856.0
2010,170,,,702,0901,,,,113579.0,113579.0,532787.0,532787.0
2010,170,,,705,0901,,,,437239.0,437239.0,2021198.0,2021198.0
2010,170,,,760,0901,,,,468388.0,468388.0,2019406.0,2019406.0
2010,170,,,784,0901,,,,18000.0,18000.0,90694.0,90694.0
2010,170,,,818,0901,,,,59149.0,59149.0,277903.0,277903.0
2010,170,,,792,0901,,,,19457.0,19457.0,89639.0,89639.0
2010,170,,,620,0901,,,,215538.0,215538.0,982966.0,982966.0
2010,170,,,344,0901,,,,286525.0,286525.0,1325293.0,1325293.0
2010,170,,,710,0901,,,,406019.0,406019.0,2082618.0,2082618.0
2010,170,,,752,0901,,,,7106109.0,7106109.0,32263673.0,32263673.0
2010,170,,,392,0901,,,,81014986.0,81014986.0,372504794.0,372504794.0
2010,170,,,52,0901,,,,41.0,41.0,111.0,111.0
2010,170,,,36,0901,,,,2898600.0,2898600.0,13962111.0,13962111.0
2010,170,,,757,0901,,,,65707.0,65707.0,325407.0,325407.0
2010,170,,,156,0901,,,,143830.0,143830.0,693077.0,693077.0
2010,170,,,56,0901,,,,30986840.0,30986840.0,150076364.0,150076364.0
2010,76,,,251,0901,,,,40523307.0,40555938.0,113608914.0,113608914.0
2010,76,,,0,0901,,,,0.0,1794309344.0,5201285951.0,5201285951.0
2010,76,,,0,0901,,,,0.0,1769484807.0,5147361310.0,5147361310.0
2010,76,,,191,0901,,,,10855000.0,10851226.0,24544251.0,24544251.0
2010,76,,,579,0901,,,,16940000.0,16942120.0,53810090.0,53810090.0
2010,76,,,218,0901,,,,4926000.0,4921200.0,12285301.0,12285301.0
2010,76,,,760,0901,,,,24949000.0,24947220.0,57197412.0,57197412.0
2010,76,,,788,0901,,,,5985000.0,5980940.0,13348654.0,13348654.0
2010,76,,,620,0901,,,,6421690.0,6453900.0,18410912.0,18410912.0
2010,76,,,428,0901,,,,1194000.0,1198800.0,3213295.0,3213295.0
2010,76,,,408,0901,,,,18000.0,18000.0,33912.0,33912.0
2010,76,,,414,0901,,,,38000.0,38400.0,99072.0,99072.0
2010,76,,,804,0901,,,,0.0,1050.0,8301.0,8301.0
2010,76,,,740,0901,,,,1865.0,6778.0,31645.0,31645.0
2010,76,,,352,0901,,,,342000.0,345368.0,1151211.0,1151211.0
2010,76,,,132,0901,,,,385495.0,402400.0,917835.0,917835.0
2010,76,,,218,0901,,,,4926047.0,4921247.0,12287069.0,12287069.0
2010,76,,,422,0901,,,,22835400.0,22827880.0,51864048.0,51864048.0
2010,76,,,226,0901,,,,3166.0,3166.0,19547.0,19547.0
2010,76,,,642,0901,,,,2292080.0,2288320.0,7047514.0,7047514.0
2010,76,,,414,0901,,,,38000.0,38400.0,99072.0,99072.0
2010,188,,,352,0901,,,,19181.0,19181.0,61621.0,61621.0
2010,188,,,400,0901,,,,19179.0,19179.0,57704.0,57704.0
2010,188,,,428,0901,,,,3822.0,3822.0,28649.0,28649.0
2010,188,,,470,0901,,,,19181.0,19181.0,74873.0,74873.0
2010,188,,,458,0901,,,,19168.0,19168.0,66762.0,66762.0
2010,188,,,504,0901,,,,230024.0,230024.0,773587.0,773587.0
2010,188,,,512,0901,,,,36496.0,36496.0,122365.0,122365.0
2010,188,,,533,0901,,,,11199.0,11199.0,82512.0,82512.0
2010,188,,,554,0901,,,,268363.0,268363.0,956638.0,956638.0
2010,188,,,620,0901,,,,1191431.0,1191431.0,3917373.0,3917373.0
2010,188,,,642,0901,,,,19168.0,19168.0,62124.0,62124.0
2010,188,,,643,0901,,,,43644.0,43644.0,185454.0,185454.0
2010,188,,,702,0901,,,,76672.0,76672.0,286573.0,286573.0
2010,188,,,705,0901,,,,6371.0,6371.0,59706.0,59706.0
2010,188,,,710,0901,,,,204000.0,204000.0,668756.0,668756.0
2010,188,,,752,0901,,,,499672.0,499672.0,1504645.0,1504645.0
2010,188,,,757,0901,,,,95982.0,95982.0,292318.0,292318.0
2010,188,,,784,0901,,,,19126.0,19126.0,64136.0,64136.0
2010,188,,,858,0901,,,,719.0,719.0,4540.0,4540.0
2010,188,,,376,0901,,,,1178068.0,1178068.0,4184133.0,4184133.0
2010,188,,,410,0901,,,,1175269.0,1175269.0,4489011.0,4489011.0
2010,188,,,490,0901,,,,289930.0,289930.0,1023661.0,1023661.0
2010,188,,,392,0901,,,,3219272.0,3219272.0,11568677.0,11568677.0
2010,188,,,530,0901,,,,2446.0,2446.0,10153.0,10153.0
2010,188,,,56,0901,,,,7361368.0,7361368.0,24837954.0,24837954.0
2010,188,,,156,0901,,,,2455.0,2455.0,13183.0,13183.0
2010,188,,,32,0901,,,,360.0,360.0,3410.0,3410.0
2010,188,,,251,0901,,,,992654.0,992654.0,3621084.0,3621084.0
2010,188,,,780,0901,,,,4214.0,4214.0,31118.0,31118.0
2010,188,,,528,0901,,,,2635745.0,2635745.0,9374191.0,9374191.0
