country_code,country,year,agriculture_pct_gdp,arable_land_pct,gdp_per_capita_usd,population,rural_population_pct
BRA,Brazil,2000,4.7504599720911,5.43757343140938,3766.54786339835,174018282.0,18.8515634576194
BRA,Brazil,2001,4.80104301895508,5.50660792951542,3176.28975052524,176301203.0,18.4039549378043
BRA,Brazil,2002,5.47527489476281,5.57564242762146,2855.94017137049,178503484.0,18.0056508497327
BRA,Brazil,2003,6.16718438742418,5.64467692572749,3090.6068907839,180622688.0,17.6459664158329
BRA,Brazil,2004,5.66531157678895,5.71371142383353,3663.82262497811,182675143.0,17.3183175185441
BRA,Brazil,2005,4.65116882266178,5.78274592193957,4827.78165890291,184688101.0,17.0161200403055
BRA,Brazil,2006,4.37004377895807,5.85225899542243,5934.14561857454,186653106.0,16.7327898635561
BRA,Brazil,2007,4.41691543617235,5.92679711036187,7409.69003822861,188552320.0,16.4617428707351
BRA,Brazil,2008,4.56785118104723,6.00121558145712,8908.33338467948,190367302.0,16.1963949442816
BRA,Brazil,2009,4.47677399214453,6.07575369639657,8678.6584730653,192079951.0,15.9301619666349
BRA,Brazil,2010,4.11575648647055,6.15029181133602,11403.2840038694,193701929.0,15.656153963692
BRA,Brazil,2011,4.34203412828906,6.22471028243126,13396.6263158041,195284734.0,15.3774241400317
BRA,Brazil,2012,4.16832822424109,6.29924839737071,12521.7238454434,196876111.0,15.1026125818688
BRA,Brazil,2013,4.50688618165956,6.37366686846595,12458.8903396625,198478299.0,14.8323414557274
BRA,Brazil,2014,4.32561053877362,6.4482049834054,12274.9941630213,200085127.0,14.5668632101832
BRA,Brazil,2015,4.31914942931221,6.52274309834485,8936.1955889444,201675532.0,14.3064302938119
BRA,Brazil,2016,4.89135358721066,6.59716156944009,8836.28546025694,203218114.0,14.0512951551892
BRA,Brazil,2017,4.6005916952048,6.67158004053533,10080.5078722821,204703445.0,13.8017102428909
BRA,Brazil,2018,4.4203993034602,6.66870858827442,9300.66072904004,206107261.0,13.5579280054928
BRA,Brazil,2019,4.2050140951087,6.66583713601351,9029.83304401079,207455459.0,13.3202008915704
BRA,Brazil,2020,5.7114851151592,6.66296568375261,7074.19407495707,208660842.0,13.0887813496996
BRA,Brazil,2021,6.55876261207381,6.6600942314917,7972.53696080695,209550294.0,12.8639218284561
BRA,Brazil,2022,5.76747490842218,6.65722277923079,9281.33282136864,210306415.0,12.650443756119
BRA,Brazil,2023,6.02306023514157,6.65722277923079,10377.5897719195,211140729.0,12.3840289764237
BRA,Brazil,2024,5.7522764094249,,10310.5488778166,211998573.0,12.1041450466854
COL,Colombia,2000,8.3057195333068,2.53988283010365,2555.00751039968,39089934.0,25.6506429820753
